"first_name","last_name","count_1_class","count_2_class"
"Vanesa","Achbergerová",1,1
"Norbert","Adamec",1,2
"Svetozár","Babjaková",2,2
"Júlia","Babka",1,2
"Bianka","Bahna",1,1
"Lukáš","Baňa",1,1
"Pankrác","Baňasová",2,1
"Jolana","Baran",1,5
"Zuzana","Barbora",1,4
"Helena","Bárta",1,1
"Alfonz","Baša",1,1
"Hedviga","Bašo",1,2
"Helena","Bednár",1,1
"Bruno","Beňuš",1,2
"Benjamín","Beňuška",2,2
"Ľubor","Bernard",1,1
"Bronislava","Bicek",1,2
"Rudolf","Blaha",1,1
"Eliáš","Blahová",1,2
"Emil","Bobulová",1,2
"Ľudmila","Borík",1,1
"Margaréta","Bôriková",2,2
"Anton","Bošňáková",1,1
"Jakub","Bruško",1,1
"Alfréd","Capková",1,3
"Božidara","Čaplovič",1,3
"Denisa","Čekovská",1,1
"Tobiáš","Černíková",1,1
"Dominika","Černochová",1,1
"Viera","Červený",1,3
"Eugen","Cesnaková",1,1
"Silvia","Chalupková",1,2
"Filoména","Chovanecová",1,1
"Imrich","Chrappa",1,2
"Slavomír","Chrappová",1,2
"Anežka","Cibula",1,3
"Rozália","Cigániková",2,2
"Miloš","Cíger",1,1
"Danica","Cígerová",1,1
"Terézia","Čobrdová",1,1
"Drahoslava","Cyprich",1,2
"Ľubor","Dán",1,1
"Andrej","Dančiaková",1,2
"Gabriela","Danková",2,4
"Silvester","Daňo",1,2
"Ingrida","Dávidová",1,2
"Eugen","Debnárová",1,3
"Viera","Dej",1,3
"Václav","Dekýšová",1,2
"Eugen","Devečková",1,3
"Július","Devečková",1,1
"Klaudia","Dorot",1,3
"Olívia","Droppa",1,1
"Róbert","Drotárová",2,2
"Bohuslava","Dubnička",1,3
"Olívia","Dudik",1,3
"Alan","Dudka",1,1
"Irena","Dudko",1,2
"Zdenka","Dudová",1,1
"Diana","Dulová",1,1
"Libuša","Dulová",1,1
"Lívia","Ďurča",1,2
"Paulína","Ďurčo",1,1
"Linda","Ďurčová",1,1
"Imrich","Ďurek",1,1
"Judita","Ďurek",1,1
"Antónia","Ďuricová",1,1
"Kvetoslava","Ďurkovič",1,3
"Aurel","Ďurkovský",1,2
"Václav","Ďurová",1,2
"Lesia","Ďurovskýová",1,1
"Áron","Dušek",1,2
"Henrich","Dusko",1,1
"Amália","Dutka",1,1
"Hugo","Ďutka",1,1
"Florián","Fabuš",2,1
"Ferdinand","Farkašovský",1,1
"Dionýz","Fašiangová",1,3
"Gregor","Filípek",1,1
"Tichomír","Filípeková",1,1
"Eulália","Filipová",1,1
"Kristína","Filipová",1,1
"Norbert","Franka",1,1
"Radoslav","Fraňo",1,1
