"customer","month_count","min_monthly_spend","max_monthly_spend"
"Fedor Rusnak","3","2.70","32.10"
"Hubert Ondrus","3","1.10","19.50"
"Eleonóra Štefan","3","1.10","15.40"
"Sabína Rosová","3","1.10","14.70"
"Gertrúda Hrušovská","3","1.10","12.30"
"Ambróz Kazíková","3","1.10","11.25"
"Konštantín Thomka","3","1.90","8.70"
"Zuzana Barbora","3","2.80","7.90"
"Agnesa Valenta","3","1.10","7.50"
"Beáta Janček","3","1.90","7.50"
"Mojmír Kazík","3","4.00","6.30"
"Leopold Mlynárik","3","4.00","6.00"
"Berta Tomaník","3","1.70","6.00"
"František Majdan","3","1.10","5.50"
"Dionýz Krištof","3","0.55","5.50"
"Matúš Maceková","3","1.95","4.72"
"Marianna Krajíčeková","3","1.90","4.20"
"Florián Janáková","3","1.65","3.90"
"Viera Dej","3","0.55","3.50"
"Florián Kozmon","3","0.97","3.08"
"Miriama Milota","3","0.55","1.95"
"Vendelín Klimová","3","0.41","1.91"
